texte_enigme,temps,objet
Trouve la cle cachee sous la pierre,3,cle
Dechiffre le code mysterieux inscrit sur le parchemin,7,
Traverse le pont en evitant les dalles piegees,5,torche
Resous le puzzle des 9 pieces pour ouvrir le coffre,6,
Affronte le gardien en repondant a ses trois questions,15,boussole
Observe le symbole grave sur le mur,2,
Assemble les fragments de la carte,12,gemme rouge
Retrace le chemin dans le labyrinthe de miroirs,9,
Decrypte le message code avec le chiffre de Cesar,10,potion
Ouvre la porte secrete avec la bonne combinaison,8,cle doree
Decouvre le passage cache derriere la bibliotheque,4,
Neutralise le piege avant de franchir le seuil,11,bouclier
Lis les inscriptions sur la stele antique,6,
Trouve la bonne cloche parmi les douze,3,
Fouille le bureau du vieux magicien,5,grimoire
Repare le mecanisme de l'horloge astrale,10,rouage
Calme le dragon endormi avec une douce melodie,8,flute
Traverse la riviere de lave sur des pierres flottantes,12,
Resous l'enigme musicale de l'esprit de la riviere,15,
Decrypte les runes elfiques dans la salle secrete,7,amulette
Retrouve ton chemin dans la foret des murmures,10,
Crochète la serrure du coffre en fer forge,6,rossignol
Bats le chevalier fantome dans un duel d'esprit,18,epee
Allume les flambeaux dans l'ordre de la prophetie,9,
Trouve la fiole d'antidote dans la salle d'alchimie,4,antidote
Utilise la foudre pour reveler les ecritures cachees,5,carte de l'ile
Dompte l'ours sombre aveugle par la faim,7,cristal
Resous l'illusion d'optique pour devoiler le levier,11,
Apaise l'ame tourmentee de la crypte en trouvant son nom,14,pendentif
Navigue sur une barque a travers l'epaisse brume,13,
Identifie la bonne etoile avec la lunette astronomique,8,lentille
Recompose la mosaique du dieu de l'eau,17,
Echappe-toi de la geole de terre avant l'effondrement,9,corde
Sortie,0,
