texte_enigme,temps,objet
Trouve la cle cachee sous la pierre,3,cle
Dechiffre le code mysterieux inscrit sur le parchemin,7,
Traverse le pont en evitant les dalles piegees,5,torche
Resous le puzzle des 9 pieces pour ouvrir le coffre,6,
Affronte le gardien en repondant a ses trois questions,15,boussole
Observe le symbole grave sur le mur,2,
Assemble les fragments de la carte,12,gemme rouge
Retrace le chemin dans le labyrinthe de miroirs,9,
Decrypte le message code avec le chiffre de Cesar,10,potion
Ouvre la porte secrete avec la bonne combinaison,8,cle doree
Decouvre le passage cache derriere la bibliotheque,4,
Neutralise le piege avant de franchir le seuil,11,bouclier
Lis les inscriptions sur la stele antique,6,
Trouve la bonne cloche parmi les douze,3,
Sortie,0,
